Crop,N,P,K,pH
Cauliflower,80,70,50,6.66
Cucumber,60,60,85,6.66
Coriander leaves,10,20,20,6.66
Curry leaves,20,20,20,6.66
Drumstick – moringa,40,20,10,6.66
Chili,120,20,80,6.66
Lady Finger,80,10,40,6.66
Mushroom,100,50,60,6.66
Onion,120,60,65,6.16
Potato,180,60,90,5.16
Pumpkin,80,50,30,5.66
Radish,25,100,50,6.16
Olive,100,60,30,6.66
Sweet Potato,90,20,120,5.16
Fenugreek Leaf(methi),30,25,40,6.16
Spinach,60,60,50,6.16
Ridgegourd,90,50,20,6.66
Gooseberry(Amla),20,50,20,4.66
Jambun(Syzygium cumini),10,10,10,4.36
Ziziphus mauritiana(Bor),20,10,10,6.16
Garcinia indica(kokam),40,25,50,4.36
Tamarind,20,15,25,3.26
Tapioca(Suran),50,50,50,5.66
Garlic,50,10,60,5.66
Lemon,20,10,10,3.26
Tomato,100,40,90,6.16
Ash Gourd,60,10,30,5.66
Pineapple,160,40,120,6.66
Pomegranate,20,10,40,5.66
Banana,100,75,50,6.66
Mango,20,20,30,5.16
Grapes,20,125,200,4.16
Jackfruit,75,40,50,5.16
Guava,50,50,50,5.16
Water Melon,100,10,50,5.66
Musk Melon,100,10,50,5.66
Apricot,40,50,25,6.66
Apple,20,125,200,6.66
Chickoo,40,30,60,5.16
Custard apple,40,20,40,6.66
Dates,40,125,20,6.66
Figs,20,60,20,5.16
Orange,20,10,10,4.16
Papaya,50,50,50,6.16
Aniseed,100,50,20,5.16
Asafoetida,90,40,20,5.16
Bay Leaf,100,50,25,5.16
Black Pepper,100,60,50,5.16
Cardamom,75,75,150,5.16
Cinnamon,20,20,25,5.16
Cloves,20,20,60,5.16
Jaiphal(Nutmeg),20,20,60,5.16
Ginger,40,50,20,5.16
Turmeric,25,60,100,5.16
Cashewnuts,70,40,60,6.16
Raisins,60,30,30,6.16
Coconut,20,10,30,5.16
Almond Nut,70,20,10,6.16
Arecanut,100,40,140,6.16
Pistachio Nut,90,20,20,6.16
Lemon Grass,25,40,40,5.66
Cotton,120,40,20,5.66
Jute,80,40,40,5.66
Coffee,100,20,30,5.66
Sunflower,50,60,30,5.66
Rice,80,40,40,5.68
Jowar(Sorghum),80,40,40,5.68
Barley(JAV),70,40,45,5.68
Maize,80,40,20,5.68
Ragi( naachnnii),50,40,20,5.68
Chickpeas(Channa),40,60,80,5.68
French Beans(Farasbi),90,125,60,5.18
Fava beans (Papdi - Val),90,125,60,5.18
Lima beans(Pavta),40,60,20,5.18
Cluster Beans(Gavar),25,50,25,5.18
Soyabean,20,60,20,5.68
Black eyed beans( chawli),20,60,20,5.68
Kidney beans,20,60,20,5.68
pigeon peas(Toor Dal),20,60,20,5.68
Moth bean(Matki),20,40,20,5.68
Mung beans,20,40,20,5.68
Green Peas,40,35,55,6.18
Horse Gram(kulthi),20,60,20,6.18
Black Gram,40,60,20,5.18
Rapeseed (Mohri),50,40,20,5.18
Coriander seeds,90,20,20,6.68
Mustard seeds,100,30,15,6.68
sesame seed,30,15,30,6.68
Cumin seeds,90,60,20,6.68
Lentils(Masoor Dal),20,60,20,5.68
Brinjal,80,15,40,6.68
Beetroot,120,50,100,5.68
Bitter Gourd,60,10,20,6.68
Bottle Gourd,100,50,50,6.68
Capsicum,100,20,60,6.68
Cabbage,100,65,70,6.68
Carrot,40,45,60,5.68
Cauliflower,80,70,50,6.68
Cucumber,60,60,85,6.68
Coriander leaves,10,20,20,6.68
Curry leaves,20,20,20,6.68
Drumstick – moringa,40,20,10,6.68
Chili,120,20,80,6.68
Lady Finger,80,10,40,6.68
Mushroom,100,50,60,6.68
Onion,120,60,65,6.18
Potato,180,60,90,5.18
Pumpkin,80,50,30,5.68
Radish,25,100,50,6.18
Olive,100,60,30,6.68
Sweet Potato,90,20,120,5.18
Fenugreek Leaf(methi),30,25,40,6.18
Spinach,60,60,50,6.18
Ridgegourd,90,50,20,6.68
Gooseberry(Amla),20,50,20,4.68
Jambun(Syzygium cumini),10,10,10,4.38
Ziziphus mauritiana(Bor),20,10,10,6.18
Garcinia indica(kokam),40,25,50,4.38
Tamarind,20,15,25,3.28
Tapioca(Suran),50,50,50,5.68
Garlic,50,10,60,5.68
Lemon,20,10,10,3.28
Tomato,100,40,90,6.18
Ash Gourd,60,10,30,5.68
Pineapple,160,40,120,6.68
Pomegranate,20,10,40,5.68
Banana,100,75,50,6.68
Mango,20,20,30,5.18
Grapes,20,125,200,4.18
Jackfruit,75,40,50,5.18
Guava,50,50,50,5.18
Water Melon,100,10,50,5.68
Musk Melon,100,10,50,5.68
Apricot,40,50,25,6.68
Apple,20,125,200,6.68
Chickoo,40,30,60,5.18
Custard apple,40,20,40,6.68
Dates,40,125,20,6.68
Figs,20,60,20,5.18
Orange,20,10,10,4.18
Papaya,50,50,50,6.18
Aniseed,100,50,20,5.18
Asafoetida,90,40,20,5.18
Bay Leaf,100,50,25,5.18
Black Pepper,100,60,50,5.18
Cardamom,75,75,150,5.18
Cinnamon,20,20,25,5.18
Cloves,20,20,60,5.18
Jaiphal(Nutmeg),20,20,60,5.18
Ginger,40,50,20,5.18
Turmeric,25,60,100,5.18
Cashewnuts,70,40,60,6.18
Raisins,60,30,30,6.18
Coconut,20,10,30,5.18
Almond Nut,70,20,10,6.18
Arecanut,100,40,140,6.18
Pistachio Nut,90,20,20,6.18
Lemon Grass,25,40,40,5.68
Cotton,120,40,20,5.68
Jute,80,40,40,5.68
Coffee,100,20,30,5.68
Sunflower,50,60,30,5.68
Rice,80,40,40,5.48
Jowar(Sorghum),80,40,40,5.48
Barley(JAV),70,40,45,5.48
Maize,80,40,20,5.48
Ragi( naachnnii),50,40,20,5.48
Chickpeas(Channa),40,60,80,5.48
French Beans(Farasbi),90,125,60,4.98
Fava beans (Papdi - Val),90,125,60,4.98
Lima beans(Pavta),40,60,20,4.98
Cluster Beans(Gavar),25,50,25,4.98
Soyabean,20,60,20,5.48
Black eyed beans( chawli),20,60,20,5.48
Kidney beans,20,60,20,5.48
pigeon peas(Toor Dal),20,60,20,5.48
Moth bean(Matki),20,40,20,5.48
Mung beans,20,40,20,5.48
Green Peas,40,35,55,5.98
Horse Gram(kulthi),20,60,20,5.98
Black Gram,40,60,20,4.98
Rapeseed (Mohri),50,40,20,4.98
Coriander seeds,90,20,20,6.48
Mustard seeds,100,30,15,6.48
sesame seed,30,15,30,6.48
Cumin seeds,90,60,20,6.48
Lentils(Masoor Dal),20,60,20,5.48
Brinjal,80,15,40,6.48
Beetroot,120,50,100,5.48
Bitter Gourd,60,10,20,6.48
Bottle Gourd,100,50,50,6.48
Capsicum,100,20,60,6.48
Cabbage,100,65,70,6.48
Carrot,40,45,60,5.48
Cauliflower,80,70,50,6.48
Cucumber,60,60,85,6.48
Coriander leaves,10,20,20,6.48
Curry leaves,20,20,20,6.48
Drumstick – moringa,40,20,10,6.48
Chili,120,20,80,6.48
Lady Finger,80,10,40,6.48
Mushroom,100,50,60,6.48
Onion,120,60,65,5.98
Potato,180,60,90,4.98
Pumpkin,80,50,30,5.48
Radish,25,100,50,5.98
Olive,100,60,30,6.48
Sweet Potato,90,20,120,4.98
Fenugreek Leaf(methi),30,25,40,5.98
Spinach,60,60,50,5.98
Ridgegourd,90,50,20,6.48
Gooseberry(Amla),20,50,20,4.48
Jambun(Syzygium cumini),10,10,10,4.18
Ziziphus mauritiana(Bor),20,10,10,5.98
Garcinia indica(kokam),40,25,50,4.18
Tamarind,20,15,25,3.08
Tapioca(Suran),50,50,50,5.48
Garlic,50,10,60,5.48
Lemon,20,10,10,3.08
Tomato,100,40,90,5.98
Ash Gourd,60,10,30,5.48
Pineapple,160,40,120,6.48
Pomegranate,20,10,40,5.48
Banana,100,75,50,6.48
Mango,20,20,30,4.98
Grapes,20,125,200,3.98
Jackfruit,75,40,50,4.98
Guava,50,50,50,4.98
Water Melon,100,10,50,5.48
Musk Melon,100,10,50,5.48
Apricot,40,50,25,6.48
Apple,20,125,200,6.48
Chickoo,40,30,60,4.98
Custard apple,40,20,40,6.48
Dates,40,125,20,6.48
Figs,20,60,20,4.98
Orange,20,10,10,3.98
Papaya,50,50,50,5.98
Aniseed,100,50,20,4.98
Asafoetida,90,40,20,4.98
Bay Leaf,100,50,25,4.98
Black Pepper,100,60,50,4.98
Cardamom,75,75,150,4.98
Cinnamon,20,20,25,4.98
Cloves,20,20,60,4.98
Jaiphal(Nutmeg),20,20,60,4.98
Ginger,40,50,20,4.98
Turmeric,25,60,100,4.98
Cashewnuts,70,40,60,5.98
Raisins,60,30,30,5.98
Coconut,20,10,30,4.98
Almond Nut,70,20,10,5.98
Arecanut,100,40,140,5.98
Pistachio Nut,90,20,20,5.98
Lemon Grass,25,40,40,5.48
Cotton,120,40,20,5.48
Jute,80,40,40,5.48
Coffee,100,20,30,5.48
Sunflower,50,60,30,5.48
Rice,80,40,40,5.46
Jowar(Sorghum),80,40,40,5.46
Barley(JAV),70,40,45,5.46
Maize,80,40,20,5.46
Ragi( naachnnii),50,40,20,5.46
Chickpeas(Channa),40,60,80,5.46
French Beans(Farasbi),90,125,60,4.96
Fava beans (Papdi - Val),90,125,60,4.96
Lima beans(Pavta),40,60,20,4.96
Cluster Beans(Gavar),25,50,25,4.96
Soyabean,20,60,20,5.46
Black eyed beans( chawli),20,60,20,5.46
Kidney beans,20,60,20,5.46
pigeon peas(Toor Dal),20,60,20,5.46
Moth bean(Matki),20,40,20,5.46
Mung beans,20,40,20,5.46
Green Peas,40,35,55,5.96
Horse Gram(kulthi),20,60,20,5.96
Black Gram,40,60,20,4.96
Rapeseed (Mohri),50,40,20,4.96
Coriander seeds,90,20,20,6.46
Mustard seeds,100,30,15,6.46
sesame seed,30,15,30,6.46
Cumin seeds,90,60,20,6.46
Lentils(Masoor Dal),20,60,20,5.46
Brinjal,80,15,40,6.46
Beetroot,120,50,100,5.46
Bitter Gourd,60,10,20,6.46
Bottle Gourd,100,50,50,6.46
Capsicum,100,20,60,6.46
Cabbage,100,65,70,6.46
Carrot,40,45,60,5.46
Cauliflower,80,70,50,6.46
Cucumber,60,60,85,6.46
Coriander leaves,10,20,20,6.46
Curry leaves,20,20,20,6.46
Drumstick – moringa,40,20,10,6.46
Chili,120,20,80,6.46
Lady Finger,80,10,40,6.46
Mushroom,100,50,60,6.46
Onion,120,60,65,5.96
Potato,180,60,90,4.96
Pumpkin,80,50,30,5.46
Radish,25,100,50,5.96
Olive,100,60,30,6.46
Sweet Potato,90,20,120,4.96
Fenugreek Leaf(methi),30,25,40,5.96
Spinach,60,60,50,5.96
Ridgegourd,90,50,20,6.46
Gooseberry(Amla),20,50,20,4.46
Jambun(Syzygium cumini),10,10,10,4.16
Ziziphus mauritiana(Bor),20,10,10,5.96
Garcinia indica(kokam),40,25,50,4.16
Tamarind,20,15,25,3.06
Tapioca(Suran),50,50,50,5.46
Garlic,50,10,60,5.46
Lemon,20,10,10,3.06
Tomato,100,40,90,5.96
Ash Gourd,60,10,30,5.46
Pineapple,160,40,120,6.46
Pomegranate,20,10,40,5.46
Banana,100,75,50,6.46
Mango,20,20,30,4.96
Grapes,20,125,200,3.96
Jackfruit,75,40,50,4.96
Guava,50,50,50,4.96
Water Melon,100,10,50,5.46
Musk Melon,100,10,50,5.46
Apricot,40,50,25,6.46
Apple,20,125,200,6.46
Chickoo,40,30,60,4.96
Custard apple,40,20,40,6.46
Dates,40,125,20,6.46
Figs,20,60,20,4.96
Orange,20,10,10,3.96
Papaya,50,50,50,5.96
Aniseed,100,50,20,4.96
Asafoetida,90,40,20,4.96
Bay Leaf,100,50,25,4.96
Black Pepper,100,60,50,4.96
Cardamom,75,75,150,4.96
Cinnamon,20,20,25,4.96
Cloves,20,20,60,4.96
Jaiphal(Nutmeg),20,20,60,4.96
Ginger,40,50,20,4.96
Turmeric,25,60,100,4.96
Cashewnuts,70,40,60,5.96
Raisins,60,30,30,5.96
Coconut,20,10,30,4.96
Almond Nut,70,20,10,5.96
Arecanut,100,40,140,5.96
Pistachio Nut,90,20,20,5.96
Lemon Grass,25,40,40,5.46
Cotton,120,40,20,5.46
Jute,80,40,40,5.46
Coffee,100,20,30,5.46
Sunflower,50,60,30,5.46
Rice,80,40,40,5.44
Jowar(Sorghum),80,40,40,5.44
Barley(JAV),70,40,45,5.44
Maize,80,40,20,5.44
Ragi( naachnnii),50,40,20,5.44
Chickpeas(Channa),40,60,80,5.44
French Beans(Farasbi),90,125,60,4.94
Fava beans (Papdi - Val),90,125,60,4.94
Lima beans(Pavta),40,60,20,4.94
Cluster Beans(Gavar),25,50,25,4.94
Soyabean,20,60,20,5.44
Black eyed beans( chawli),20,60,20,5.44
Kidney beans,20,60,20,5.44
pigeon peas(Toor Dal),20,60,20,5.44
Moth bean(Matki),20,40,20,5.44
Mung beans,20,40,20,5.44
Green Peas,40,35,55,5.94
Horse Gram(kulthi),20,60,20,5.94
Black Gram,40,60,20,4.94
Rapeseed (Mohri),50,40,20,4.94
Coriander seeds,90,20,20,6.44
Mustard seeds,100,30,15,6.44
sesame seed,30,15,30,6.44
Cumin seeds,90,60,20,6.44
Lentils(Masoor Dal),20,60,20,5.44
Brinjal,80,15,40,6.44
Beetroot,120,50,100,5.44
Bitter Gourd,60,10,20,6.44
Bottle Gourd,100,50,50,6.44
Capsicum,100,20,60,6.44
Cabbage,100,65,70,6.44
Carrot,40,45,60,5.44
Cauliflower,80,70,50,6.44
Cucumber,60,60,85,6.44
Coriander leaves,10,20,20,6.44
Curry leaves,20,20,20,6.44
Drumstick – moringa,40,20,10,6.44
Chili,120,20,80,6.44
Lady Finger,80,10,40,6.44
Mushroom,100,50,60,6.44
Onion,120,60,65,5.94
Potato,180,60,90,4.94
Pumpkin,80,50,30,5.44
Radish,25,100,50,5.94
Olive,100,60,30,6.44
Sweet Potato,90,20,120,4.94
Fenugreek Leaf(methi),30,25,40,5.94
Spinach,60,60,50,5.94
Ridgegourd,90,50,20,6.44
Gooseberry(Amla),20,50,20,4.44
Jambun(Syzygium cumini),10,10,10,4.14
Ziziphus mauritiana(Bor),20,10,10,5.94
Garcinia indica(kokam),40,25,50,4.14
Tamarind,20,15,25,3.04
Tapioca(Suran),50,50,50,5.44
Garlic,50,10,60,5.44
Lemon,20,10,10,3.04
Tomato,100,40,90,5.94
Ash Gourd,60,10,30,5.44
Pineapple,160,40,120,6.44
Pomegranate,20,10,40,5.44
Banana,100,75,50,6.44
Mango,20,20,30,4.94
Grapes,20,125,200,3.94
Jackfruit,75,40,50,4.94
Guava,50,50,50,4.94
Water Melon,100,10,50,5.44
Musk Melon,100,10,50,5.44
Apricot,40,50,25,6.44
Apple,20,125,200,6.44
Chickoo,40,30,60,4.94
Custard apple,40,20,40,6.44
Dates,40,125,20,6.44
Figs,20,60,20,4.94
Orange,20,10,10,3.94
Papaya,50,50,50,5.94
Aniseed,100,50,20,4.94
Asafoetida,90,40,20,4.94
Bay Leaf,100,50,25,4.94
Black Pepper,100,60,50,4.94
Cardamom,75,75,150,4.94
Cinnamon,20,20,25,4.94
Cloves,20,20,60,4.94
Jaiphal(Nutmeg),20,20,60,4.94
Ginger,40,50,20,4.94
Turmeric,25,60,100,4.94
Cashewnuts,70,40,60,5.94
Raisins,60,30,30,5.94
Coconut,20,10,30,4.94
Almond Nut,70,20,10,5.94
Arecanut,100,40,140,5.94
Pistachio Nut,90,20,20,5.94
Lemon Grass,25,40,40,5.44
Cotton,120,40,20,5.44
Jute,80,40,40,5.44
Coffee,100,20,30,5.44
Sunflower,50,60,30,5.44
Rice,80,40,40,5.42
Jowar(Sorghum),80,40,40,5.42
Barley(JAV),70,40,45,5.42
Maize,80,40,20,5.42
Ragi( naachnnii),50,40,20,5.42
Chickpeas(Channa),40,60,80,5.42
French Beans(Farasbi),90,125,60,4.92
Fava beans (Papdi - Val),90,125,60,4.92
Lima beans(Pavta),40,60,20,4.92
Cluster Beans(Gavar),25,50,25,4.92
Soyabean,20,60,20,5.42
Black eyed beans( chawli),20,60,20,5.42
Kidney beans,20,60,20,5.42
pigeon peas(Toor Dal),20,60,20,5.42
Moth bean(Matki),20,40,20,5.42
Mung beans,20,40,20,5.42
Green Peas,40,35,55,5.92
Horse Gram(kulthi),20,60,20,5.92
Black Gram,40,60,20,4.92
Rapeseed (Mohri),50,40,20,4.92
Coriander seeds,90,20,20,6.42
Mustard seeds,100,30,15,6.42
sesame seed,30,15,30,6.42
Cumin seeds,90,60,20,6.42
Lentils(Masoor Dal),20,60,20,5.42
Brinjal,80,15,40,6.42
Beetroot,120,50,100,5.42
Bitter Gourd,60,10,20,6.42
Bottle Gourd,100,50,50,6.42
Capsicum,100,20,60,6.42
Cabbage,100,65,70,6.42
Carrot,40,45,60,5.42
Cauliflower,80,70,50,6.42
Cucumber,60,60,85,6.42
Coriander leaves,10,20,20,6.42
Curry leaves,20,20,20,6.42
Drumstick – moringa,40,20,10,6.42
Chili,120,20,80,6.42
Lady Finger,80,10,40,6.42
Mushroom,100,50,60,6.42
Onion,120,60,65,5.92
Potato,180,60,90,4.92
Pumpkin,80,50,30,5.42
Radish,25,100,50,5.92
Olive,100,60,30,6.42
Sweet Potato,90,20,120,4.92
Fenugreek Leaf(methi),30,25,40,5.92
Spinach,60,60,50,5.92
Ridgegourd,90,50,20,6.42
Gooseberry(Amla),20,50,20,4.42
Jambun(Syzygium cumini),10,10,10,4.12
Ziziphus mauritiana(Bor),20,10,10,5.92
Garcinia indica(kokam),40,25,50,4.12
Tamarind,20,15,25,3.02
Tapioca(Suran),50,50,50,5.42
Garlic,50,10,60,5.42
Lemon,20,10,10,3.02
Tomato,100,40,90,5.92
Ash Gourd,60,10,30,5.42
Pineapple,160,40,120,6.42
Pomegranate,20,10,40,5.42
Banana,100,75,50,6.42
Mango,20,20,30,4.92
Grapes,20,125,200,3.92
Jackfruit,75,40,50,4.92
Guava,50,50,50,4.92
Water Melon,100,10,50,5.42
Musk Melon,100,10,50,5.42
Apricot,40,50,25,6.42
Apple,20,125,200,6.42
Chickoo,40,30,60,4.92
Custard apple,40,20,40,6.42
Dates,40,125,20,6.42
Figs,20,60,20,4.92
Orange,20,10,10,3.92
Papaya,50,50,50,5.92
Aniseed,100,50,20,4.92
Asafoetida,90,40,20,4.92
Bay Leaf,100,50,25,4.92
Black Pepper,100,60,50,4.92
Cardamom,75,75,150,4.92
Cinnamon,20,20,25,4.92
Cloves,20,20,60,4.92
Jaiphal(Nutmeg),20,20,60,4.92
Ginger,40,50,20,4.92
Turmeric,25,60,100,4.92
Cashewnuts,70,40,60,5.92
Raisins,60,30,30,5.92
Coconut,20,10,30,4.92
Almond Nut,70,20,10,5.92
Arecanut,100,40,140,5.92
Pistachio Nut,90,20,20,5.92
Lemon Grass,25,40,40,5.42
Cotton,120,40,20,5.42
Jute,80,40,40,5.42
Coffee,100,20,30,5.42
Sunflower,50,60,30,5.42
Rice,80,40,40,5.4
Jowar(Sorghum),80,40,40,5.4
Barley(JAV),70,40,45,5.4
Maize,80,40,20,5.4
Ragi( naachnnii),50,40,20,5.4
Chickpeas(Channa),40,60,80,5.4
French Beans(Farasbi),90,125,60,4.9
Fava beans (Papdi - Val),90,125,60,4.9
Lima beans(Pavta),40,60,20,4.9
Cluster Beans(Gavar),25,50,25,4.9
Soyabean,20,60,20,5.4
Black eyed beans( chawli),20,60,20,5.4
Kidney beans,20,60,20,5.4
pigeon peas(Toor Dal),20,60,20,5.4
Moth bean(Matki),20,40,20,5.4
Mung beans,20,40,20,5.4
Green Peas,40,35,55,5.9
Horse Gram(kulthi),20,60,20,5.9
Black Gram,40,60,20,4.9
Rapeseed (Mohri),50,40,20,4.9
Coriander seeds,90,20,20,6.4
Mustard seeds,100,30,15,6.4
sesame seed,30,15,30,6.4
Cumin seeds,90,60,20,6.4
Lentils(Masoor Dal),20,60,20,5.4
Brinjal,80,15,40,6.4
Beetroot,120,50,100,5.4
Bitter Gourd,60,10,20,6.4
Bottle Gourd,100,50,50,6.4
Capsicum,100,20,60,6.4
Cabbage,100,65,70,6.4
Carrot,40,45,60,5.4
Cauliflower,80,70,50,6.4
Cucumber,60,60,85,6.4
Coriander leaves,10,20,20,6.4
Curry leaves,20,20,20,6.4
Drumstick – moringa,40,20,10,6.4
Chili,120,20,80,6.4
Lady Finger,80,10,40,6.4
Mushroom,100,50,60,6.4
Onion,120,60,65,5.9
Potato,180,60,90,4.9
Pumpkin,80,50,30,5.4
Radish,25,100,50,5.9
Olive,100,60,30,6.4
Sweet Potato,90,20,120,4.9
Fenugreek Leaf(methi),30,25,40,5.9
Spinach,60,60,50,5.9
Ridgegourd,90,50,20,6.4
Gooseberry(Amla),20,50,20,4.4
Jambun(Syzygium cumini),10,10,10,4.1
Ziziphus mauritiana(Bor),20,10,10,5.9
Garcinia indica(kokam),40,25,50,4.1
Tamarind,20,15,25,3
Tapioca(Suran),50,50,50,5.4
Garlic,50,10,60,5.4
Lemon,20,10,10,3
Tomato,100,40,90,5.9
Ash Gourd,60,10,30,5.4
Pineapple,160,40,120,6.4
Pomegranate,20,10,40,5.4
Banana,100,75,50,6.4
Mango,20,20,30,4.9
Grapes,20,125,200,3.9
Jackfruit,75,40,50,4.9
Guava,50,50,50,4.9
Water Melon,100,10,50,5.4
Musk Melon,100,10,50,5.4
Apricot,40,50,25,6.4
Apple,20,125,200,6.4
Chickoo,40,30,60,4.9
Custard apple,40,20,40,6.4
Dates,40,125,20,6.4
Figs,20,60,20,4.9
Orange,20,10,10,3.9
Papaya,50,50,50,5.9
Aniseed,100,50,20,4.9
Asafoetida,90,40,20,4.9
Bay Leaf,100,50,25,4.9
Black Pepper,100,60,50,4.9
Cardamom,75,75,150,4.9
Cinnamon,20,20,25,4.9
Cloves,20,20,60,4.9
Jaiphal(Nutmeg),20,20,60,4.9
Ginger,40,50,20,4.9
Turmeric,25,60,100,4.9
Cashewnuts,70,40,60,5.9
Raisins,60,30,30,5.9
Coconut,20,10,30,4.9
Almond Nut,70,20,10,5.9
Arecanut,100,40,140,5.9
Pistachio Nut,90,20,20,5.9
Lemon Grass,25,40,40,5.4
Cotton,120,40,20,5.4
Jute,80,40,40,5.4
Coffee,100,20,30,5.4
Sunflower,50,60,30,5.4
Rice,80,40,40,5.38
Jowar(Sorghum),80,40,40,5.38
Barley(JAV),70,40,45,5.38
Maize,80,40,20,5.38
Ragi( naachnnii),50,40,20,5.38
Chickpeas(Channa),40,60,80,5.38
French Beans(Farasbi),90,125,60,4.88
Fava beans (Papdi - Val),90,125,60,4.88
Lima beans(Pavta),40,60,20,4.88
Cluster Beans(Gavar),25,50,25,4.88
Soyabean,20,60,20,5.38
Black eyed beans( chawli),20,60,20,5.38
Kidney beans,20,60,20,5.38
pigeon peas(Toor Dal),20,60,20,5.38
Moth bean(Matki),20,40,20,5.38
Mung beans,20,40,20,5.38
Green Peas,40,35,55,5.88
Horse Gram(kulthi),20,60,20,5.88
Black Gram,40,60,20,4.88
Rapeseed (Mohri),50,40,20,4.88
Coriander seeds,90,20,20,6.38
Mustard seeds,100,30,15,6.38
sesame seed,30,15,30,6.38
Cumin seeds,90,60,20,6.38
Lentils(Masoor Dal),20,60,20,5.38
Brinjal,80,15,40,6.38
Beetroot,120,50,100,5.38
Bitter Gourd,60,10,20,6.38
Bottle Gourd,100,50,50,6.38
Capsicum,100,20,60,6.38
Cabbage,100,65,70,6.38
Carrot,40,45,60,5.38
Cauliflower,80,70,50,6.38
Cucumber,60,60,85,6.38
Coriander leaves,10,20,20,6.38
Curry leaves,20,20,20,6.38
Drumstick – moringa,40,20,10,6.38
Chili,120,20,80,6.38
Lady Finger,80,10,40,6.38
Mushroom,100,50,60,6.38
Onion,120,60,65,5.88
Potato,180,60,90,4.88
Pumpkin,80,50,30,5.38
Radish,25,100,50,5.88
Olive,100,60,30,6.38
Sweet Potato,90,20,120,4.88
Fenugreek Leaf(methi),30,25,40,5.88
Spinach,60,60,50,5.88
Ridgegourd,90,50,20,6.38
Gooseberry(Amla),20,50,20,4.38
Jambun(Syzygium cumini),10,10,10,4.08
Ziziphus mauritiana(Bor),20,10,10,5.88
Garcinia indica(kokam),40,25,50,4.08
Tamarind,20,15,25,2.98
Tapioca(Suran),50,50,50,5.38
Garlic,50,10,60,5.38
Lemon,20,10,10,2.98
Tomato,100,40,90,5.88
Ash Gourd,60,10,30,5.38
Pineapple,160,40,120,6.38
Pomegranate,20,10,40,5.38
Banana,100,75,50,6.38
Mango,20,20,30,4.88
Grapes,20,125,200,3.88
Jackfruit,75,40,50,4.88
Guava,50,50,50,4.88
Water Melon,100,10,50,5.38
Musk Melon,100,10,50,5.38
Apricot,40,50,25,6.38
Apple,20,125,200,6.38
Chickoo,40,30,60,4.88
Custard apple,40,20,40,6.38
Dates,40,125,20,6.38
Figs,20,60,20,4.88
Orange,20,10,10,3.88
Papaya,50,50,50,5.88
Aniseed,100,50,20,4.88
Asafoetida,90,40,20,4.88
Bay Leaf,100,50,25,4.88
Black Pepper,100,60,50,4.88
Cardamom,75,75,150,4.88
Cinnamon,20,20,25,4.88
Cloves,20,20,60,4.88
Jaiphal(Nutmeg),20,20,60,4.88
Ginger,40,50,20,4.88
Turmeric,25,60,100,4.88
Cashewnuts,70,40,60,5.88
Raisins,60,30,30,5.88
Coconut,20,10,30,4.88
Almond Nut,70,20,10,5.88
Arecanut,100,40,140,5.88
Pistachio Nut,90,20,20,5.88
Lemon Grass,25,40,40,5.38
Cotton,120,40,20,5.38
Jute,80,40,40,5.38
Coffee,100,20,30,5.38
Sunflower,50,60,30,5.38
Rice,80,40,40,5.36
Jowar(Sorghum),80,40,40,5.36
Barley(JAV),70,40,45,5.36
Maize,80,40,20,5.36
Ragi( naachnnii),50,40,20,5.36
Chickpeas(Channa),40,60,80,5.36
French Beans(Farasbi),90,125,60,4.86
Fava beans (Papdi - Val),90,125,60,4.86
Lima beans(Pavta),40,60,20,4.86
Cluster Beans(Gavar),25,50,25,4.86
Soyabean,20,60,20,5.36
Black eyed beans( chawli),20,60,20,5.36
Kidney beans,20,60,20,5.36
pigeon peas(Toor Dal),20,60,20,5.36
Moth bean(Matki),20,40,20,5.36
Mung beans,20,40,20,5.36
Green Peas,40,35,55,5.86
Horse Gram(kulthi),20,60,20,5.86
Black Gram,40,60,20,4.86
Rapeseed (Mohri),50,40,20,4.86
Coriander seeds,90,20,20,6.36
Mustard seeds,100,30,15,6.36
sesame seed,30,15,30,6.36
Cumin seeds,90,60,20,6.36
Lentils(Masoor Dal),20,60,20,5.36
Brinjal,80,15,40,6.36
Beetroot,120,50,100,5.36
Bitter Gourd,60,10,20,6.36
Bottle Gourd,100,50,50,6.36
Capsicum,100,20,60,6.36
Cabbage,100,65,70,6.36
Carrot,40,45,60,5.36
Cauliflower,80,70,50,6.36
Cucumber,60,60,85,6.36
Coriander leaves,10,20,20,6.36
Curry leaves,20,20,20,6.36
Drumstick – moringa,40,20,10,6.36
Chili,120,20,80,6.36
Lady Finger,80,10,40,6.36
Mushroom,100,50,60,6.36
Onion,120,60,65,5.86
Potato,180,60,90,4.86
Pumpkin,80,50,30,5.36
Radish,25,100,50,5.86
Olive,100,60,30,6.36
Sweet Potato,90,20,120,4.86
Fenugreek Leaf(methi),30,25,40,5.86
Spinach,60,60,50,5.86
Ridgegourd,90,50,20,6.36
Gooseberry(Amla),20,50,20,4.36
Jambun(Syzygium cumini),10,10,10,4.06
Ziziphus mauritiana(Bor),20,10,10,5.86
Garcinia indica(kokam),40,25,50,4.06
Tamarind,20,15,25,2.96
Tapioca(Suran),50,50,50,5.36
Garlic,50,10,60,5.36
Lemon,20,10,10,2.96
Tomato,100,40,90,5.86
Ash Gourd,60,10,30,5.36
Pineapple,160,40,120,6.36
Pomegranate,20,10,40,5.36
Banana,100,75,50,6.36
Mango,20,20,30,4.86
